Raw Score,LSAT Score
78,180
77,180
76,179
75,178
74,176
73,175
72,173
71,172
70,171
69,170
68,169
67,168
66,167
65,166
64,165
63,164
62,163
61,162
60,161
59,161
58,160
57,159
56,158
55,157
54,156
53,156
52,155
51,154
50,153
49,153
48,152
47,151
46,150
45,150
44,149
43,148
42,147
41,147
40,146
39,145
38,144
37,144
36,143
35,142
34,141
33,141
32,140
31,139
30,138
29,138
28,137
27,136
26,135
25,134
24,134
23,133
22,132
21,131
20,130
19,129
18,128
17,127
16,126
15,125
14,124
13,123
12,122
11,120
10,120
9,120
8,120
7,120
6,120
5,120
4,120
3,120
2,120
1,120
0,120
