Raw Score,LSAT Score
77,180
76,180
75,179
74,177
73,175
72,174
71,172
70,171
69,170
68,169
67,167
66,166
65,165
64,164
63,163
62,163
61,162
60,161
59,160
58,159
57,158
56,157
55,157
54,156
53,155
52,154
51,154
50,153
49,152
48,151
47,151
46,150
45,149
44,148
43,148
42,147
41,146
40,146
39,145
38,144
37,143
36,143
35,142
34,141
33,141
32,140
31,139
30,139
29,138
28,137
27,136
26,136
25,135
24,134
23,133
22,132
21,131
20,130
19,129
18,128
17,127
16,126
15,125
14,123
13,121
12,120
11,120
10,120
9,120
8,120
7,120
6,120
5,120
4,120
3,120
2,120
1,120
0,120
